0.016;0.016;0.016;0.016;0.016;0.017;0.019
0.008;0.008;0.008;0.008;0.008;0.011;0.012
0.003;0.003;0.003;0.003;0.003;0.005;0.007
0.003;0.003;0.003;0.003;0.003;0.003;0.005
0.008;0.008;0.008;0.008;0.008;0.006;0.004
0.025;0.025;0.025;0.025;0.025;0.007;0.004
0.073;0.073;0.073;0.073;0.073;0.010;0.005
0.077;0.077;0.077;0.077;0.077;0.022;0.010
0.065;0.065;0.065;0.065;0.065;0.051;0.035
0.053;0.053;0.053;0.053;0.053;0.091;0.070
0.047;0.047;0.047;0.047;0.047;0.088;0.083
0.043;0.043;0.043;0.043;0.043;0.085;0.092
0.042;0.042;0.042;0.042;0.042;0.071;0.085
0.040;0.040;0.040;0.040;0.040;0.054;0.071
0.036;0.036;0.036;0.036;0.036;0.052;0.058
0.032;0.032;0.032;0.032;0.032;0.048;0.049
0.037;0.037;0.037;0.037;0.037;0.048;0.043
0.049;0.049;0.049;0.049;0.049;0.055;0.047
0.056;0.056;0.056;0.056;0.056;0.056;0.058
0.073;0.073;0.073;0.073;0.073;0.058;0.063
0.077;0.077;0.077;0.077;0.077;0.053;0.065
0.073;0.073;0.073;0.073;0.073;0.046;0.052
0.040;0.040;0.040;0.040;0.040;0.036;0.040
0.024;0.024;0.024;0.024;0.024;0.027;0.023
